p_I1,p_I2,ph1,ph2,method,n,bias,var,se,z,sig
0.2,1.0,0.5,0.2,Three-step estimator,300,0.007587939474005902,0.013513220259775461,0.006711487728707017,1.1305897858607477,False
0.2,1.0,0.5,0.5,GMM estimator,300,-0.004094195248228396,0.009476994160301564,0.005620496466891386,-0.7284401426717444,False
0.2,1.0,0.5,0.5,Simple g-estimator,300,0.001526894426407131,0.00887697860375479,0.0054396625519587734,0.28069653435713765,False
0.2,1.0,0.5,0.5,Three-step estimator,300,0.0015268944264065516,0.008876978603767396,0.005439662551962636,0.28069653435683184,False
0.2,1.0,0.5,0.8,GMM estimator,300,-0.010010148077490798,0.012301451391652781,0.006403502008446311,-1.5632302549897337,False
0.2,1.0,0.5,0.8,Simple g-estimator,300,-0.006951898534577454,0.012039910510853107,0.006335063933077315,-1.0973683309302462,False
0.2,1.0,0.5,0.8,Three-step estimator,300,-0.006951898534584715,0.012039910510853872,0.0063350639330775164,-1.0973683309313573,False
0.2,1.0,0.8,0.2,GMM estimator,300,-0.008622577851316494,0.012613280271486825,0.006484155116252444,-1.3297920387043367,False
0.2,1.0,0.8,0.2,Simple g-estimator,300,0.0017437633590940574,0.011260555533138894,0.006126596535635669,0.2846218694100985,False
0.2,1.0,0.8,0.2,Three-step estimator,300,0.0017437633590711614,0.011260555532985592,0.006126596535593965,0.2846218694082988,False
0.2,1.0,0.8,0.5,GMM estimator,300,-0.0036894384748768078,0.008588768186454812,0.0053506286815833805,-0.6895336407057523,False
0.2,1.0,0.8,0.5,Simple g-estimator,300,0.0014191207753468213,0.008520553671810921,0.005329338192749928,0.26628461621696364,False
0.2,1.0,0.8,0.5,Three-step estimator,300,0.001419120775136872,0.00852055367175301,0.005329338192731817,0.2662846161784736,False
0.2,1.0,0.8,0.8,GMM estimator,300,-0.004197269401418102,0.010794797146577998,0.005998554588837214,-0.6997134625112612,False
0.2,1.0,0.8,0.8,Simple g-estimator,300,-0.0022824926975877425,0.010467715761563325,0.00590697772738968,-0.3864061797633333,False
0.2,1.0,0.8,0.8,Three-step estimator,300,-0.0022824926976530904,0.010467715761528669,0.005906977727379902,-0.3864061797750357,False
1.0,0.2,0.2,0.2,GMM estimator,300,-0.01747093285985244,0.06988514673452234,0.015262715653351945,-1.1446804917718254,False
1.0,0.2,0.2,0.2,Simple g-estimator,300,-0.019390857122083775,0.07766686476053915,0.016090045034175545,-1.205146230535542,False
1.0,0.2,0.2,0.2,Three-step estimator,300,-0.01939085711038098,0.07766686476856934,0.016090045035007345,-1.2051462297459088,False
1.0,0.2,0.2,0.5,GMM estimator,300,0.004758859292691211,0.0474082288848865,0.012570896134177879,0.3785616587629562,False
1.0,0.2,0.2,0.5,Simple g-estimator,300,0.0015454764190715882,0.054245088255689376,0.0134468197300439,0.114932485903605,False
1.0,0.2,0.2,0.5,Three-step estimator,300,0.0015454764185452413,0.054245088255126334,0.013446819729974115,0.11493248586505862,False
1.0,0.2,0.2,0.8,GMM estimator,300,0.011167052793556573,0.07001338722281424,0.01527671291244883,0.7309853145473895,False
1.0,0.2,0.2,0.8,Simple g-estimator,300,0.010452885667793005,0.06417715171249727,0.014626135478712672,0.7146717383417142,False
1.0,0.2,0.2,0.8,Three-step estimator,300,0.010452885667422427,0.0641771516792625,0.014626135474925528,0.7146717385014273,False
1.0,0.2,0.5,0.2,GMM estimator,300,0.0010564372482230612,0.0830260603819105,0.016635910994182684,0.06350342031719697,False
1.0,0.2,0.5,0.2,Simple g-estimator,300,0.010467376028915017,0.08027875806257782,0.016358357503386236,0.6398794027302701,False
1.0,0.2,0.5,0.2,Three-step estimator,300,0.010467376025987735,0.0802787580618576,0.016358357503312857,0.6398794025541932,False
