 p_I1  p_I2  ph1  ph2               method  mean_psi03  var_psi03  mse_psi03  coverage_psi03
  1.0   1.0  0.5  0.2   Simple g-estimator    0.015792   0.148591   0.148841        0.940000
  1.0   1.0  0.5  0.2 Three-step estimator    0.032348   0.385355   0.386401        0.936667
  1.0   1.0  0.5  0.5        GMM estimator   -0.048772   0.051456   0.053834        0.936667
  1.0   1.0  0.5  0.5   Simple g-estimator   -0.016898   0.059578   0.059864        0.946667
  1.0   1.0  0.5  0.5 Three-step estimator   -0.016721   0.116822   0.117101        0.943333
  1.0   1.0  0.5  0.8        GMM estimator   -0.035035   0.039580   0.040807        0.943333
  1.0   1.0  0.5  0.8   Simple g-estimator   -0.003327   0.037747   0.037758        0.943333
  1.0   1.0  0.5  0.8 Three-step estimator   -0.013574   0.052945   0.053129        0.943333
  1.0   1.0  0.8  0.2        GMM estimator   -0.021718   0.095476   0.095948        0.943333
  1.0   1.0  0.8  0.2   Simple g-estimator   -0.002775   0.101488   0.101495        0.940000
  1.0   1.0  0.8  0.2 Three-step estimator    0.006102   0.224417   0.224455        0.950000
  1.0   1.0  0.8  0.5        GMM estimator   -0.005849   0.045883   0.045918        0.943333
  1.0   1.0  0.8  0.5   Simple g-estimator   -0.003586   0.044692   0.044705        0.953333
  1.0   1.0  0.8  0.5 Three-step estimator    0.026021   0.059715   0.060392        0.946667
  1.0   1.0  0.8  0.8        GMM estimator   -0.025688   0.026436   0.027096        0.936667
  1.0   1.0  0.8  0.8   Simple g-estimator   -0.016693   0.026335   0.026613        0.936667
  1.0   1.0  0.8  0.8 Three-step estimator   -0.027180   0.031419   0.032158        0.940000
Saved plot to /Users/fuyuguo/PhD_thesis/Thesis_1_SNTTEM/Codes/three_time_binary/psi0_python/n12000/simulation_results_plots.pdf
