p_I1,p_I2,ph1,ph2,method,bias,var,se,z,sig
1.0,0.2,0.8,0.2,GMM estimator,-0.06145847168842292,0.15052354201463652,0.022399668302204575,-2.7437224006738608,True
1.0,0.2,0.8,0.2,Simple g-estimator,0.012312976124981643,0.1373779704293549,0.021399218866534585,0.5753937188911803,False
1.0,0.2,0.8,0.2,Three-step estimator,0.016867331309191925,0.1642783995444828,0.023400740696573604,0.7208033082329605,False
1.0,0.2,0.8,0.5,GMM estimator,-0.01636564557115021,0.059767850609497915,0.01411475004023544,-1.1594711577958077,False
1.0,0.2,0.8,0.5,Simple g-estimator,0.004193775069518604,0.05489730332503621,0.013527417014473015,0.310020387856135,False
1.0,0.2,0.8,0.5,Three-step estimator,0.0058912629641121,0.06667645705201777,0.014908214408173075,0.3951689184777457,False
1.0,0.2,0.8,0.8,GMM estimator,-0.026962345826422335,0.025268104527179945,0.009177527722137363,-2.9378659092890267,True
1.0,0.2,0.8,0.8,Simple g-estimator,-0.011814088158979037,0.029183219005455948,0.009862930430904051,-1.1978273842387976,False
1.0,0.2,0.8,0.8,Three-step estimator,-0.018914182869719274,0.03258273126732822,0.010421569182442124,-1.8149073847329242,False
1.0,1.0,0.2,0.2,GMM estimator,0.018863257356118383,0.36885834928344036,0.035064623639001195,0.5379569320441078,False
1.0,1.0,0.2,0.2,Simple g-estimator,0.0940988018849519,0.37169999869900705,0.035199431751995046,2.673304573435863,True
1.0,1.0,0.2,0.2,Three-step estimator,0.1548389537596825,1.0966681843449637,0.06046123232686556,2.5609625838023287,True
1.0,1.0,0.2,0.5,GMM estimator,0.0015054328083196514,0.12904970978845123,0.02074043633327991,0.07258443285033728,False
1.0,1.0,0.2,0.5,Simple g-estimator,0.02915698292196999,0.14228005045786973,0.02177766826038926,1.33884778541708,False
1.0,1.0,0.2,0.5,Three-step estimator,0.028321111304200515,0.27931957235132393,0.03051336168256588,0.9281544131003457,False
1.0,1.0,0.2,0.8,GMM estimator,0.0009188011114374416,0.09557565809361085,0.017848964311093875,0.051476438376111745,False
1.0,1.0,0.2,0.8,Simple g-estimator,0.025444656602785897,0.09960596098073317,0.018221412402329773,1.3964151648053675,False
1.0,1.0,0.2,0.8,Three-step estimator,-0.0025352523381385215,0.19140322253485473,0.025258874515362895,-0.10037075628989471,False
1.0,1.0,0.5,0.2,GMM estimator,-0.0353786029445611,0.1669764551117155,0.02359212122098643,-1.4995939794124986,False
1.0,1.0,0.5,0.2,Simple g-estimator,0.027769132503786695,0.16029329501734185,0.02311516782095989,1.2013381308271005,False
1.0,1.0,0.5,0.2,Three-step estimator,0.05443167548646488,0.4204406078983823,0.0374361949588177,1.453985255348289,False
1.0,1.0,0.5,0.5,GMM estimator,-0.0347122939698574,0.05795397968766152,0.013898918385694806,-2.4974816749470494,True
1.0,1.0,0.5,0.5,Simple g-estimator,-0.0032879331599959634,0.056032784228785895,0.013666599702533411,-0.2405816539271631,False
1.0,1.0,0.5,0.5,Three-step estimator,0.002120426218506223,0.09234014446509016,0.01754424354454476,0.12086164975551494,False
1.0,1.0,0.5,0.8,GMM estimator,-0.022459243520593714,0.03805995678362081,0.011263504011277724,-1.9939837104071803,True
1.0,1.0,0.5,0.8,Simple g-estimator,-0.0051012764234377,0.036212819753727574,0.0109867829312812,-0.46431029495572507,False
1.0,1.0,0.5,0.8,Three-step estimator,-0.018538493703047842,0.061723669192027576,0.014343833656781761,-1.292436467588485,False
1.0,1.0,0.8,0.2,GMM estimator,-0.021513010050949247,0.1167037355880543,0.019723398590511247,-1.0907354506996054,False
1.0,1.0,0.8,0.2,Simple g-estimator,0.019161393613404975,0.10168268571485346,0.01841038526799964,1.040792646893203,False
1.0,1.0,0.8,0.2,Three-step estimator,0.017038876931079923,0.16860686519917603,0.023707021828927678,0.7187270106736401,False
1.0,1.0,0.8,0.5,GMM estimator,-0.016053926631553736,0.03947223360843883,0.011470575923994811,-1.3995745931092447,False
1.0,1.0,0.8,0.5,Simple g-estimator,-0.001616690175154355,0.04456748457476834,0.012188448708342438,-0.1326411763990773,False
1.0,1.0,0.8,0.5,Three-step estimator,0.005904689172848586,0.06733878091774735,0.01498207605971742,0.39411688669266814,False
1.0,1.0,0.8,0.8,GMM estimator,-0.02092826114376208,0.026428605079151055,0.009385912329861005,-2.2297524639325075,True
1.0,1.0,0.8,0.8,Simple g-estimator,-0.010140277022268517,0.02572162180789398,0.009259521551335501,-1.095118896376021,False
1.0,1.0,0.8,0.8,Three-step estimator,-0.018764850607936073,0.03271938592138389,0.01044340077455358,-1.7968141808421794,False
