p_I1,p_I2,ph1,ph2,method,n_kept,bias,var,se,z,sig
1.0,0.2,0.5,0.2,Simple g-estimator,300,0.019723914256879756,0.14663382007528883,0.022108355892082134,0.8921474917971471,False
1.0,0.2,0.5,0.2,Three-step estimator,300,0.019723914239059816,0.1466338200732518,0.02210835589192857,0.8921474909973167,False
1.0,0.2,0.5,0.5,GMM estimator,300,0.0044218993879265285,0.0849543750139808,0.016827990077445454,0.26277050126462803,False
1.0,0.2,0.5,0.5,Simple g-estimator,300,0.012825906113760983,0.09669394873351923,0.017953082254728966,0.7144124853760168,False
1.0,0.2,0.5,0.5,Three-step estimator,300,0.01282590611751702,0.09669394873202261,0.01795308225459003,0.7144124855907595,False
1.0,0.2,0.5,0.8,GMM estimator,300,-0.019580395486260074,0.12531635879824132,0.020438228788085766,-0.9580280018038669,False
1.0,0.2,0.5,0.8,Simple g-estimator,300,-0.033474870594630717,0.13531583320088442,0.0212380031390967,-1.5761778720621507,False
1.0,0.2,0.5,0.8,Three-step estimator,300,-0.03347487059155814,0.13531583320081095,0.02123800313909094,-1.576177871917905,False
1.0,0.2,0.8,0.2,GMM estimator,300,0.009789252134781894,0.13339747590781276,0.02108692137382891,0.4642333492517967,False
1.0,0.2,0.8,0.2,Simple g-estimator,300,0.01562465534485326,0.14886978680435212,0.022276279372488883,0.7014032767136889,False
1.0,0.2,0.8,0.2,Three-step estimator,300,0.015624655328047386,0.14886978679767504,0.022276279371989317,0.7014032759749893,False
1.0,0.2,0.8,0.5,GMM estimator,300,0.00925802482250365,0.08678791153842196,0.01700861659457954,0.5443138053599305,False
1.0,0.2,0.8,0.5,Simple g-estimator,300,0.013865227716147439,0.09562681724161957,0.017853740713701015,0.7766007100969726,False
1.0,0.2,0.8,0.5,Three-step estimator,300,0.013865227712303977,0.0956268172289348,0.01785374071251688,0.7766007099332052,False
1.0,0.2,0.8,0.8,GMM estimator,300,-0.006120311863211746,0.1282034111878064,0.020672317334042515,-0.2960631730015585,False
1.0,0.2,0.8,0.8,Simple g-estimator,300,-0.011631534589933799,0.13033052012475896,0.020843105984534305,-0.5580518852883278,False
1.0,0.2,0.8,0.8,Three-step estimator,300,-0.01163153459428469,0.130330520179392,0.0208431059889029,-0.5580518853801083,False
1.0,1.0,0.2,0.2,GMM estimator,300,-0.018829480228068417,0.04970642571299776,0.012871988413216993,-1.4628260703477838,False
1.0,1.0,0.2,0.2,Simple g-estimator,300,-0.006265141934524577,0.04989689746006427,0.012896627137881733,-0.4857969349305096,False
1.0,1.0,0.2,0.2,Three-step estimator,300,-0.006265141932332243,0.049896897469003096,0.012896627139036922,-0.4857969347170025,False
1.0,1.0,0.2,0.5,GMM estimator,300,-0.008411787906258272,0.025022334058631496,0.009132786004031756,-0.9210538714631885,False
1.0,1.0,0.2,0.5,Simple g-estimator,300,-0.005058092460755566,0.024487844678917882,0.00903471908416229,-0.5598505513715768,False
1.0,1.0,0.2,0.5,Three-step estimator,300,-0.005058092460264182,0.02448784467691426,0.009034719083792674,-0.5598505513400923,False
1.0,1.0,0.2,0.8,GMM estimator,300,0.0005948598397221125,0.043155491357051524,0.01199381665095971,0.04959720971510045,False
1.0,1.0,0.2,0.8,Simple g-estimator,300,0.00021380446375752547,0.04587587582562568,0.012366065909796007,0.017289610561444308,False
1.0,1.0,0.2,0.8,Three-step estimator,300,0.00021380446390070502,0.045875875822626755,0.01236606590939182,0.017289610573587848,False
1.0,1.0,0.5,0.2,GMM estimator,300,-0.022388725067723807,0.03926556001260223,0.01144050698360905,-1.9569696605054654,False
1.0,1.0,0.5,0.2,Simple g-estimator,300,-0.0010333302124732866,0.038117196599645256,0.01127197063511157,-0.09167254297616068,False
1.0,1.0,0.5,0.2,Three-step estimator,300,-0.001033330212814738,0.03811719660022084,0.011271970635196676,-0.0916725430057606,False
1.0,1.0,0.5,0.5,GMM estimator,300,-0.01848225173118213,0.021766623131903095,0.008517946374548092,-2.1698013721250597,True
1.0,1.0,0.5,0.5,Simple g-estimator,300,-0.007920877408540998,0.021340889908560364,0.00843423379419857,-0.9391342001912869,False
1.0,1.0,0.5,0.5,Three-step estimator,300,-0.007920877408640514,0.021340889908569576,0.00843423379420039,-0.9391342002028833,False
1.0,1.0,0.5,0.8,GMM estimator,300,-0.00651862480827987,0.03465513404078523,0.010747888791259617,-0.6065028150999233,False
1.0,1.0,0.5,0.8,Simple g-estimator,300,-0.0034391879890463425,0.03733988942088403,0.01115644648038135,-0.308269124500724,False
1.0,1.0,0.5,0.8,Three-step estimator,300,-0.0034391879891105827,0.03733988942091052,0.011156446480385308,-0.3082691245063728,False
1.0,1.0,0.8,0.2,GMM estimator,300,-0.009752845383704937,0.03811715315272221,0.011271964211074337,-0.8652303361754009,False
1.0,1.0,0.8,0.2,Simple g-estimator,300,0.0025028479391892926,0.03805119170669892,0.011262206963512808,0.2222342341335047,False
1.0,1.0,0.8,0.2,Three-step estimator,300,0.002502847939042992,0.038051191707004876,0.011262206963558086,0.22223423411962087,False
1.0,1.0,0.8,0.5,GMM estimator,300,-0.006382774706792904,0.017954666712055763,0.007736206372647118,-0.8250522800633217,False
1.0,1.0,0.8,0.5,Simple g-estimator,300,-0.0014108308975260824,0.018432090837454434,0.007838386491588354,-0.17998996337321388,False
1.0,1.0,0.8,0.5,Three-step estimator,300,-0.0014108308975043762,0.018432090837857365,0.007838386491674029,-0.17998996336847736,False
1.0,1.0,0.8,0.8,GMM estimator,300,0.0015579212621700104,0.03231155110494526,0.010378110153097121,0.15011608464235493,False
1.0,1.0,0.8,0.8,Simple g-estimator,300,-0.0016093087017828433,0.037703505638335084,0.011210635670102906,-0.14355195808161259,False
1.0,1.0,0.8,0.8,Three-step estimator,300,-0.0016093087014591371,0.037703505638641215,0.011210635670148418,-0.1435519580521549,False
