n,p_I1,p_I2,ph1,ph2,bias_threestep_psi03,var_threestep_psi03,bias_gest_psi03,var_gest_psi03,bias_gmm_psi03,var_gmm_psi03,bias_threestep_psi13,var_threestep_psi13,bias_gest_psi13,var_gest_psi13,bias_gmm_psi13,var_gmm_psi13
6000,0.2,1.0,0.8,0.2,0.047291271620534925,0.5439642548524481,0.02657129171341347,0.2837388519931779,-0.057441957467225024,0.307327298246631,0.07661760247076543,2.311696483614403,0.00041288435721958776,0.6033389966823882,-0.1257932211562186,0.6611387643138913
6000,0.2,1.0,0.8,0.5,0.010060677372338647,0.16052945517535272,0.015217979392326109,0.12089882631524969,-0.03680726130822846,0.11849819687448798,0.039605834141296314,0.716404352035913,0.015268006433617217,0.3707941404541981,-0.08462649166752628,0.377452785335982
6000,0.2,1.0,0.8,0.8,-0.010175946601663528,0.09519351685936603,-0.008442298811743684,0.07836855935391365,-0.03728581650295053,0.07619127982857853,-0.009195136002398734,0.4555938163882304,-0.002963683832859085,0.3483398947438187,-0.06533238054350521,0.33644521584867015
6000,1.0,0.2,0.2,0.2,0.035709453112951,12.255583218489113,0.14499175295020994,3.4483160630617715,-0.5775516105981797,9356690.85045694,-0.020151113451033178,0.40769917560698277,-0.029848151316757825,0.35365452288586047,-0.06432000199703647,0.3639494069502099
6000,1.0,0.2,0.2,0.5,0.036002515325632194,1.2617304905373656,0.08666284527425708,0.6236309874108329,-0.027150555940601256,1.340371918510484,0.003022412655682176,0.12806622334574222,-0.0002735476780401548,0.13227109950174165,-0.021169386695123655,0.12527757071645237
6000,1.0,0.2,0.2,0.8,-0.05958183679300093,0.6367248349690638,-0.03697754451136036,0.36484799973981247,-0.13379242869559604,0.32663520916820715,-0.0061086712964037015,0.07281278827002095,-0.004868391091577495,0.06535024730397593,-0.026887424131693795,0.06499570624522434
6000,1.0,0.2,0.5,0.2,0.002163779562209185,0.9452722069598398,0.06692362011005681,0.6661239195623523,-0.2076634407263388,0.9429181893156111,-0.02671708524159435,0.22725863786283154,-0.03436475403014261,0.2127549038302783,-0.1441004273991125,0.20904426808684712
6000,1.0,0.2,0.5,0.5,-0.029929629883522556,0.27885761533619646,0.013045286780243474,0.18376116857046376,-0.07832841722490613,0.18050806186640256,-0.010253976092018138,0.06197244794880587,-0.0022641659713693125,0.05933269977979135,-0.04642362669146986,0.06280441363763829
6000,1.0,0.2,0.5,0.8,-0.0306722429095625,0.14152387732437208,-0.011280703015738303,0.10751092855881199,-0.0556108471871474,0.10267869480601546,-0.002665187735853297,0.04374902401875445,-0.0029421642856531983,0.0437169382578556,-0.010383813873061405,0.04399281318852214
6000,1.0,0.2,0.8,0.2,0.05534993715505466,0.5356538803527969,0.026652630267102913,0.44509198454320525,-0.12060806877799922,0.4546208629864182,0.013416391170033702,0.4060669387202089,0.018120634884740323,0.36790140766073137,-0.08554975856099933,0.37426523483538077
