id,est_psi03,est_psi13,est_psi23,method,p_I1,p_I2,ph1,ph2,seed,psi03,psi13,psi23,gamma13,gamma23
45,0.9166300010687265,1.1835226082156354,0.8868902428248564,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
46,0.9678804277126409,1.403962986952116,1.2733468929715277,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
47,1.0000606504340772,1.431193107080493,1.4959670565700676,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
48,1.1827629383371194,1.3958347821416432,1.023255677015709,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
49,0.7195940434627931,1.1534451627148272,1.2429397230404924,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
50,0.6061923062027863,1.1555253487336177,0.9650510761269565,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
51,1.1770361220436647,1.7147061592997535,0.9946522167833851,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
52,1.0000348316085421,1.2334442876176586,1.0413484808974292,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
53,1.1423327702671013,1.403985883430888,0.9419015580439078,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
54,0.9970648887147071,1.5680064810771805,1.0353294422561652,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
55,0.8104124216776738,1.3727367481018222,1.1259692385640878,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
56,0.6854043902125574,1.3438679078293727,0.9039356945358228,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
57,0.6043617428775389,0.3639125316621287,0.8214491360070463,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
58,0.9484922601513661,0.68911985842979,0.6732937152132688,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
59,1.5442594749586347,1.752814373766589,1.0121216429946185,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
60,0.7251640608318706,1.9535337306535925,1.3339913743273677,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
61,1.0498234235130084,0.8878346432557161,0.9899716666902852,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
62,1.0257017920273783,1.1389374455431793,1.630562862426503,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
63,0.6183320045819034,1.15424024807019,1.0624318432471278,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
64,0.8517588861416752,1.3343686969780402,0.9743055081614163,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
