id,est_psi03,est_psi13,est_psi23,method,p_I,ph,seed,psi03,psi13,psi23,sigma
24,5.695968329662567,2.507369992521925,2.21831170510249,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
25,-2.593621085665466,-3.6999519075301137,-5.1616989914925275,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
26,-5.692930725760543,-2.2311795968882597,-1.9184414764725684,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
27,1.5536176130982264,-0.6521595224905531,0.9820092899004508,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
28,-1.4562331493153335,2.4433770884523045,-2.4853963831691415,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
29,3.3871225023478964,-6.269556519512951,0.446965248642919,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
30,4.938171212420966,-2.667287496018661,2.535039115819442,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
31,-6.611743604341718,3.5974943905885395,-4.159398722164191,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
32,3.253621719436861,-6.298000581027495,-3.090839306083328,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
33,1.7587974811604097,0.1156765566814482,0.869124175993896,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
34,-1.952059483701627,7.958345375306061,1.343771442589022,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
35,-3.074612413158253,0.2824146265357037,-12.831267220441044,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
36,-1.6432830357434498,5.784828718412093,3.525317406957102,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
37,2.380436463989999,1.4307034392470175,5.066193024061856,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
38,-2.8775516930447416,4.681326666741327,-7.647964086447139,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
39,0.5223829037164985,-5.445894322463773,-6.462975162756418,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
40,4.862549403199018,-9.637442012182733,-2.58485061022345,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0,10
